x,y,z
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.000000,1.500000,0.000000
0.525220,1.500000,0.000000
1.050440,1.500000,0.000000
1.575659,1.500000,0.000000
2.100879,1.500000,0.000000
2.626099,1.500000,0.000000
3.151319,1.500000,0.000000
3.676539,1.500000,0.000000
4.201759,1.500000,0.000000
4.726978,1.500000,0.000000
5.252198,1.500000,0.000000
5.777418,1.500000,0.000000
6.302638,1.500000,0.000000
6.827858,1.500000,0.000000
7.353078,1.500000,0.000000
7.878297,1.500000,0.000000
8.403517,1.500000,0.000000
8.928737,1.500000,0.000000
9.453957,1.500000,0.000000
9.979177,1.500000,0.000000
9.979177,1.500000,0.000000
9.979177,1.499716,0.029177
9.979177,1.498865,0.058343
9.979177,1.497447,0.087487
9.979177,1.495461,0.116598
9.979177,1.492911,0.145664
9.979177,1.489795,0.174676
9.979177,1.486115,0.203622
9.979177,1.481873,0.232490
9.979177,1.477071,0.261270
9.979177,1.471709,0.289952
9.979177,1.465791,0.318524
9.979177,1.459318,0.346975
9.979177,1.452292,0.375295
9.979177,1.444718,0.403473
9.979177,1.436596,0.431499
9.979177,1.427931,0.459361
9.979177,1.418726,0.487049
9.979177,1.408984,0.514553
9.979177,1.398708,0.541862
9.979177,1.398708,0.541862
9.453957,1.398708,0.541862
8.928737,1.398708,0.541862
8.403517,1.398708,0.541862
7.878297,1.398708,0.541862
7.353078,1.398708,0.541862
6.827858,1.398708,0.541862
6.302638,1.398708,0.541862
5.777418,1.398708,0.541862
5.252198,1.398708,0.541862
4.726978,1.398708,0.541862
4.201759,1.398708,0.541862
3.676539,1.398708,0.541862
3.151319,1.398708,0.541862
2.626099,1.398708,0.541862
2.100879,1.398708,0.541862
1.575659,1.398708,0.541862
1.050440,1.398708,0.541862
0.525220,1.398708,0.541862
0.000000,1.398708,0.541862
0.000000,1.398708,0.541862
0.000000,1.387904,0.568967
0.000000,1.376574,0.595856
0.000000,1.364723,0.622519
0.000000,1.352356,0.648947
0.000000,1.339478,0.675130
0.000000,1.326092,0.701056
0.000000,1.312205,0.726718
0.000000,1.297821,0.752105
0.000000,1.282946,0.777207
0.000000,1.267585,0.802015
0.000000,1.251745,0.826519
0.000000,1.235431,0.850711
0.000000,1.218650,0.874581
0.000000,1.201408,0.898120
0.000000,1.183711,0.921319
0.000000,1.165566,0.944170
0.000000,1.146980,0.966663
0.000000,1.127960,0.988790
0.000000,1.108513,1.010543
0.000000,1.108513,1.010543
0.525220,1.108513,1.010543
1.050440,1.108513,1.010543
1.575659,1.108513,1.010543
2.100879,1.108513,1.010543
2.626099,1.108513,1.010543
3.151319,1.108513,1.010543
3.676539,1.108513,1.010543
4.201759,1.108513,1.010543
4.726978,1.108513,1.010543
5.252198,1.108513,1.010543
5.777418,1.108513,1.010543
6.302638,1.108513,1.010543
6.827858,1.108513,1.010543
7.353078,1.108513,1.010543
7.878297,1.108513,1.010543
8.403517,1.108513,1.010543
8.928737,1.108513,1.010543
9.453957,1.108513,1.010543
9.979177,1.108513,1.010543
9.979177,1.108513,1.010543
9.979177,1.088647,1.031914
9.979177,1.068369,1.052895
9.979177,1.047687,1.073477
9.979177,1.026608,1.093653
9.979177,1.005141,1.113415
9.979177,0.983293,1.132755
9.979177,0.961073,1.151667
9.979177,0.938490,1.170144
9.979177,0.915552,1.188177
9.979177,0.892267,1.205761
9.979177,0.868644,1.222889
9.979177,0.844693,1.239554
9.979177,0.820422,1.255750
9.979177,0.795841,1.271470
9.979177,0.770959,1.286710
9.979177,0.745784,1.301463
9.979177,0.720328,1.315723
9.979177,0.694599,1.329486
9.979177,0.668608,1.342745
9.979177,0.668608,1.342745
9.453957,0.668608,1.342745
8.928737,0.668608,1.342745
8.403517,0.668608,1.342745
7.878297,0.668608,1.342745
7.353078,0.668608,1.342745
6.827858,0.668608,1.342745
6.302638,0.668608,1.342745
5.777418,0.668608,1.342745
5.252198,0.668608,1.342745
4.726978,0.668608,1.342745
4.201759,0.668608,1.342745
3.676539,0.668608,1.342745
3.151319,0.668608,1.342745
2.626099,0.668608,1.342745
2.100879,0.668608,1.342745
1.575659,0.668608,1.342745
1.050440,0.668608,1.342745
0.525220,0.668608,1.342745
0.000000,0.668608,1.342745
0.000000,0.668608,1.342745
0.000000,0.642363,1.355496
0.000000,0.615875,1.367735
0.000000,0.589154,1.379455
0.000000,0.562210,1.390654
0.000000,0.535054,1.401327
0.000000,0.507695,1.411469
0.000000,0.480144,1.421078
0.000000,0.452411,1.430148
0.000000,0.424507,1.438678
0.000000,0.396443,1.446663
0.000000,0.368228,1.454100
0.000000,0.339874,1.460988
0.000000,0.311392,1.467322
0.000000,0.282792,1.473102
0.000000,0.254084,1.478324
0.000000,0.225281,1.482986
0.000000,0.196392,1.487088
0.000000,0.167429,1.490627
0.000000,0.138403,1.493601
0.000000,0.138403,1.493601
0.525220,0.138403,1.493601
1.050440,0.138403,1.493601
1.575659,0.138403,1.493601
2.100879,0.138403,1.493601
2.626099,0.138403,1.493601
3.151319,0.138403,1.493601
3.676539,0.138403,1.493601
4.201759,0.138403,1.493601
4.726978,0.138403,1.493601
5.252198,0.138403,1.493601
5.777418,0.138403,1.493601
6.302638,0.138403,1.493601
6.827858,0.138403,1.493601
7.353078,0.138403,1.493601
7.878297,0.138403,1.493601
8.403517,0.138403,1.493601
8.928737,0.138403,1.493601
9.453957,0.138403,1.493601
9.979177,0.138403,1.493601
9.979177,0.138403,1.493601
9.979177,0.109324,1.496011
